Unnamed: 0,id,locality,postal_code,region,province,type_of_property,subtype_of_property,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
19445,10069435,Aubel,4880,Wallonie,Liège,1,HOUSE,320000.0,4.0,165.0,INSTALLED,INSTALLED,0.0,0,1.0,,,,0.0,3.0,,1
55147,9914240,De Pinte,9840,Flanders,East Flanders,0,APARTMENT,495000.0,2.0,102.0,INSTALLED,INSTALLED,0.0,0,,,,,,2.0,0.0,1
55916,10092393,Denderwindeke,9400,Flanders,East Flanders,1,HOUSE,245000.0,4.0,262.0,INSTALLED,INSTALLED,0.0,0,,,1.0,,0.0,2.0,0.0,1
12833,9937826,Ath,7800,Wallonie,Hainaut,1,HOUSE,220000.0,3.0,86.0,NO_INFO,-1,,0,1.0,12.0,1.0,561.0,672.0,3.0,,1
58973,9905462,Aalst,9300,Flanders,East Flanders,0,APARTMENT,347600.0,2.0,110.0,USA_HYPER_EQUIPPED,1,,0,1.0,7.0,,,,,0.0,1
24288,10098304,Waterloo,1410,Wallonie,Walloon Brabant,1,HOUSE,595000.0,4.0,210.0,USA_HYPER_EQUIPPED,1,0.0,0,1.0,30.0,1.0,100.0,272.0,3.0,,1
39892,10135931,Bredene,8450,Flanders,West Flanders,1,VILLA,695000.0,9.0,318.0,INSTALLED,INSTALLED,,0,,,1.0,,1136.0,,0.0,1
47378,8502879,Hasselt,3500,Flanders,Limburg,0,APARTMENT,486000.0,3.0,139.0,NO_INFO,-1,,0,,,1.0,,,,0.0,1
22940,10059680,Petit-Rechain,4800,Wallonie,Liège,1,HOUSE,463764.0,4.0,161.0,USA_HYPER_EQUIPPED,1,,0,1.0,28.0,,,455.0,2.0,,1
21548,10001347,Seraing,4100,Wallonie,Liège,1,HOUSE,159500.0,2.0,50.0,INSTALLED,INSTALLED,0.0,0,1.0,10.0,1.0,20.0,110.0,2.0,0.0,1
20382,10017510,Neupré,4121,Wallonie,Liège,0,APARTMENT,190000.0,2.0,90.0,NOT_INSTALLED,NOT_INSTALLED,0.0,0,1.0,7.0,,,,,,1
5782,9863146,Uccle,1180,Brussels,Brussels,0,APARTMENT,395000.0,1.0,63.0,USA_HYPER_EQUIPPED,1,0.0,0,1.0,8.0,,,,2.0,0.0,1
49103,10094391,Wemmel,1780,Flanders,Flemish Brabant,0,APARTMENT,319000.0,3.0,120.0,NO_INFO,-1,,0,1.0,2.0,,,,2.0,0.0,1
18341,10075077,Sprimont,4140,Wallonie,Liège,1,HOUSE,145000.0,1.0,200.0,NO_INFO,-1,,0,1.0,,,,100.0,2.0,,0
14892,10021223,Marcinelle,6001,Wallonie,Hainaut,0,APARTMENT,150000.0,2.0,95.0,NO_INFO,-1,0.0,0,,,,,,,0.0,1
21473,9936264,Saint-Nicolas,4420,Wallonie,Liège,1,HOUSE,229500.0,3.0,110.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,1.0,50.0,1.0,200.0,290.0,4.0,0.0,1
14554,9741371,Courcelles,6180,Wallonie,Hainaut,1,HOUSE,125000.0,2.0,107.0,NOT_INSTALLED,NOT_INSTALLED,0.0,0,,,,,160.0,2.0,0.0,0
45603,10052407,Oudsbergen,3660,Flanders,Limburg,1,HOUSE,339000.0,3.0,189.0,NO_INFO,-1,0.0,0,1.0,,,,427.0,3.0,,1
8030,10101874,Schaerbeek,1030,Brussels,Brussels,1,HOUSE,995000.0,9.0,228.0,USA_INSTALLED,USA_INSTALLED,0.0,0,,,,,0.0,2.0,0.0,1
6314,10136901,Ixelles,1050,Brussels,Brussels,0,GROUND_FLOOR,490000.0,2.0,90.0,INSTALLED,INSTALLED,0.0,0,1.0,9.0,1.0,10.0,,2.0,,1
27427,9739114,Antwerp,2000,Flanders,Antwerp,0,LOFT,1575000.0,3.0,350.0,NO_INFO,-1,,0,1.0,89.0,,,,,,1
58129,10140336,Gent,9000,Flanders,East Flanders,0,APARTMENT,425000.0,3.0,114.0,NO_INFO,-1,,0,1.0,,,,,,0.0,1
46255,9957438,Spalbeek,3510,Flanders,Limburg,1,HOUSE,340000.0,3.0,149.0,INSTALLED,INSTALLED,0.0,0,1.0,14.0,,,336.0,3.0,0.0,1
20947,9964921,Flémalle-Grande,4400,Wallonie,Liège,1,HOUSE,199000.0,4.0,180.0,NOT_INSTALLED,NOT_INSTALLED,0.0,0,1.0,20.0,,,0.0,,,1
30919,10105956,Wilrijk,2610,Flanders,Antwerp,1,HOUSE,280000.0,3.0,139.0,NO_INFO,-1,0.0,1,,,1.0,,142.0,,0.0,1
27387,9379770,Lier,2500,Flanders,Antwerp,1,VILLA,2675000.0,8.0,800.0,NO_INFO,-1,0.0,0,,,1.0,4500.0,4500.0,,1.0,1
8766,9907839,Ixelles,1050,Brussels,Brussels,1,MANSION,2300000.0,6.0,600.0,INSTALLED,INSTALLED,,0,1.0,,,,270.0,2.0,,1
6077,9873358,Schaerbeek,1030,Brussels,Brussels,0,APARTMENT,225000.0,1.0,85.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,,,,,,2.0,0.0,1
46800,9602791,Hasselt,3500,Flanders,Limburg,0,APARTMENT,259000.0,2.0,109.0,INSTALLED,INSTALLED,0.0,0,1.0,13.0,,,,2.0,0.0,1
56087,9261706,Lebbeke,9280,Flanders,East Flanders,0,APARTMENT,250000.0,2.0,90.0,NO_INFO,-1,,0,,,,,,,0.0,1
